Offense charged,"Total
all ages","Ages
under 15","Ages
under 18","Ages 18
and over","Under
10",10-12,13-14,15,16,17,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,"65 and
over",,
TOTAL,"83,05,919","1,97,123","7,09,333","75,96,586","5,144","42,858","1,49,121","1,34,078","1,71,964","2,06,168","2,73,160","2,98,988","3,02,084","3,09,730","3,14,334","3,18,362","3,15,966","13,79,975","11,21,695","8,41,019","6,26,209","5,41,069","4,53,198","2,79,782","1,30,856","90,159", , 
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
